Series Name,Units,Region Name,State,City Level Code,Region Prefix,Region,12/1/2020,11/1/2025
Unemployment Rate by Metropolitan Statistical Area,Percent,"Abilene, TX",TX,10180,10,Region 1,5.1,3.6
Unemployment Rate by Metropolitan Statistical Area,Percent,"Albany-Schenectady-Troy, NY",NY,10580,10,Region 1,5.2,3.6
Unemployment Rate by Metropolitan Statistical Area,Percent,"Alexandria, LA",LA,10780,10,Region 1,5.4,4
Unemployment Rate by Metropolitan Statistical Area,Percent,"Akron, OH",OH,10420,10,Region 1,6.2,4.8
Unemployment Rate by Metropolitan Statistical Area,Percent,"Albany, GA",GA,10500,10,Region 1,6.8,4.3
Unemployment Rate by Metropolitan Statistical Area,Percent,"Albuquerque, NM",NM,10740,10,Region 1,7.8,4
Unemployment Rate by Metropolitan Statistical Area,Percent,"Allentown-Bethlehem-Easton, PA-NJ",PA-NJ,10900,10,Region 1,8,4.6
